Card Name,Page in my Book,Copyright Yr,Edition
Circle of Protection: White,43,1997,Tempest
Hero's Resolve,43,1997,Tempest
Metallic Sliver,43,1997,Tempest
Pit Imp,43,1997,Tempest
Searing Touch,43,1997,Tempest
Power Sink,43,1997,Tempest
Winged Sliver,43,1997,Tempest
Tahngarth's Rage,44,1997,Tempest
Mogg Fanatic,44,1997,Tempest
Lightning Blast,44,1997,Tempest
Wild Wurm,44,1997,Tempest
Kindle,44,1997,Tempest
Kindle,44,1997,Tempest
Sandstone Warrior,44,1997,Tempest
Kindle,44,1997,Tempest
Mogg Fanatic,44,1997,Tempest
Fireslinger,45,1997,Tempest
Lightning Blast,45,1997,Tempest
Kindle,45,1997,Tempest
Lightning Blast,45,1997,Tempest
Lightning Elemental,45,1997,Tempest
Firefly,45,1997,Tempest
Fireslinger,45,1997,Tempest
Fireslinger,45,1997,Tempest
Rolling Thunder,45,1997,Tempest
Disenchant,46,1997,Tempest
Wild Wurm,46,1997,Tempest
Flowstone Giant,46,1997,Tempest
Lightning Elemental,46,1997,Tempest
Blood Frenzy,46,1997,Tempest
Mogg Fanatic,46,1997,Tempest
Searing Touch,46,1997,Tempest
Mogg Fanatic,46,1997,Tempest
Coiled Tinviper,46,1997,Tempest
Soltari Trooper,47,1997,Tempest
Diabolic Edict,47,1997,Tempest
Broken Fall,47,1997,Tempest
Aftershock,47,1997,Tempest
Spinal Graft,47,1997,Tempest
Clot Sliver,47,1997,Tempest
Master Decoy,47,1997,Tempest
Dauthi Marauder,47,1997,Tempest
Dauthi Slayer,47,1997,Tempest
Manta Riders,48,1997,Tempest
Rampant Growth,48,1997,Tempest
Lightning Blast,48,1997,Tempest
Soltari Lancer,48,1997,Tempest
Stun,48,1997,Tempest
Seeker of Skybreak,48,1997,Tempest
Skyshroud Ranger,48,1997,Tempest
Bayou Dragonfly,48,1997,Tempest
Crown of Flames,48,1997,Tempest
Spontaneous Combustion,49,1997,Tempest
Soltari Guerrillas,49,1997,Tempest
Unstable Shapeshifter,49,1997,Tempest
Grindstone,49,1997,Tempest
Skyshroud Forest,49,1997,Tempest
Mogg Hollows,49,1997,Tempest
Maze of Shadows,49,1997,Tempest
Furnace Of Rath,49,1997,Tempest
Magmasaur,49,1997,Tempest
Lightning Blast,50,1997,Tempest
Samite Blessing,51,1998,Stronghold
Nomads en-Kor,51,1998,Stronghold
Honor Guard,51,1998,Stronghold
Warrior Angel,51,1998,Stronghold
Wall of Essence,51,1998,Stronghold
Youthful Knight,51,1998,Stronghold
Wall of Tears,51,1998,Stronghold
Mana Leak,51,1998,Stronghold
Mob Justice,51,1998,Stronghold
Heat of Battle,52,1998,Stronghold
Fling,52,1998,Stronghold
Flame Wave,52,1998,Stronghold
Spitting Hydra,52,1998,Stronghold
Conviction,52,1998,Stronghold
Conviction,52,1998,Stronghold
Bandage,52,1998,Stronghold
Skyshroud Falcon,52,1998,Stronghold
Temper,52,1998,Stronghold
Sift,53,1998,Stronghold
Spindrift Drake,53,1998,Stronghold
Hesitation,53,1998,Stronghold
Crystalline Sliver,53,1998,Stronghold
Skyshroud Archer,53,1998,Stronghold
Skyshroud Troopers,53,1998,Stronghold
Primal Rage,53,1998,Stronghold
Spike Worker,53,1998,Stronghold
Lowland Basilisk,53,1998,Stronghold
Morgue Thrull,54,1998,Stronghold
Dungeon Shade,54,1998,Stronghold
Brush with Death,54,1998,Stronghold
Lab Rats,54,1998,Stronghold
Mind Peel,54,1998,Stronghold
Contempt,54,1998,Stronghold
Contempt,54,1998,Stronghold
Cloud Spirit,54,1998,Stronghold
Dream Halls,54,1998,Stronghold
Flowstone Blade,55,1998,Stronghold
Flowstone Blade,55,1998,Stronghold
Fanning the Flames,55,1998,Stronghold
Fanning the Flames,55,1998,Stronghold
Mana Leak,55,1998,Stronghold
Shock,55,1998,Stronghold
Tidal Surge,55,1998,Stronghold
Craven Giant,55,1998,Stronghold
Craven Giant,55,1998,Stronghold
Cannibalize,56,1998,Stronghold
Mana Leak,56,1998,Stronghold
Cannibalize,56,1998,Stronghold
Intruder Alarm,56,1998,Stronghold
Mind Games,56,1998,Stronghold
Morgue Thrull,56,1998,Stronghold
Shock,56,1998,Stronghold
Mogg Maniac,56,1998,Stronghold
Mind Games,56,1998,Stronghold
Evacuation,57,1998,Stronghold
Shock,57,1998,Stronghold
Sift,57,1998,Stronghold
Contempt,57,1998,Stronghold
Mogg Bombers,57,1998,Stronghold
Wall of Razors,57,1998,Stronghold
Reins of Power,57,1998,Stronghold
Ransack,57,1998,Stronghold
